production,population,gdp,famine
91.0,16461930.0,6213185773.92265,0
95.0,16903923.0,2881545277.1430697,0
94.0,17369883.0,4043901724.1376204,0
100.0,17861881.0,4532660145.328421,0
105.0,18378214.0,3384063359.82333,0
119.0,18913203.0,3909780525.37375,0
112.0,19458904.0,5032434970.84174,0
114.0,20009935.0,4877684933.12505,0
122.0,20562865.0,5594770351.56981,0
135.0,21120140.0,6173712809.28569,0
132.0,21689239.0,7870239463.584609,0
140.0,22280923.0,9596960174.34365,0
149.0,22902319.0,10237343153.4311,0
155.0,23559071.0,9648583220.472559,0
168.0,24247550.0,12344424775.9239,0
183.0,24954655.0,15372607995.4061,0
186.0,25661884.0,15068422242.0571,0
204.0,26357462.0,14394927492.9647,0
207.0,27039468.0,12537821039.8252,0
228.0,27717337.0,13651667370.5466,0
241.0,28404876.0,11006712649.2175,0
259.0,29121474.0,7857729192.856291,0
253.0,29883446.0,7195042615.84176,0
255.0,30685824.0,8095367168.161779,0
264.0,31529823.0,7661625472.51189,0
274.0,32444156.0,8861299976.68858,0
285.0,33465441.0,9021862775.254429,0
338.0,34614581.0,9349764580.35198,0
401.0,35914825.0,9087965281.52807,0
439.0,37346147.0,8206227134.008571,0
420.0,38833595.0,10707792340.0276,0
413.0,40273701.0,5820383305.5466795,0
408.0,41595744.0,5643439262.21735,0
421.0,42770544.0,5771454939.62404,0
460.0,43830146.0,6090840548.1878395,0
507.0,44840529.0,6215591269.89747,0
547.0,45898667.0,4711259427.27273,1
614.0,47076387.0,19088046305.7971,1
618.0,48394338.0,7438189100.33333,1
644.0,49835756.0,8728038525.14034,1
686.0,51390033.0,8937567059.87754,1
736.0,53034217.0,10297483481.223,1
581.0,54751476.0,11964484667.9102,1
648.0,56543011.0,14296507096.4135,0
672.0,58417562.0,16364029327.3457,0
689.0,60373608.0,19206060270.2521,0
815.0,64523263.0,20523285374.187,0
863.0,66713597.0,23849009737.6669,0
861.0,68978682.0,27463220380.0054,0
906.0,71316033.0,30014813755.772003,0
28.0,102425.0,114040245.655299,0
34.0,107316.0,132758395.400497,0
33.0,112494.0,139030445.576898,0
36.0,117950.0,160819286.554292,0
39.0,123653.0,161211289.690318,0
38.0,129583.0,179080099.30746102,0
43.0,135726.0,197523179.241883,0
43.0,142073.0,270818555.823521,0
42.0,148560.0,433092003.579273,0
45.0,155109.0,1073577085.64159,0
47.0,161671.0,1168304305.6551301,0
50.0,168224.0,1423061356.6456199,0
53.0,174773.0,1732721160.9412198,0
54.0,181257.0,1941600703.6059802,0
58.0,187656.0,2803780005.51826,0
67.0,193949.0,4928824957.9675,0
74.0,200085.0,4366213849.57637,0
74.0,206128.0,4264252336.4486,0
79.0,212136.0,3844723142.45149,0
75.0,218227.0,3782523088.4628,0
79.0,224512.0,3523612563.0653205,0
81.0,230972.0,2358592817.12134,0
79.0,237622.0,2754463437.79677,0
86.0,244458.0,2690717551.18267,0
94.0,251514.0,2985467979.2852397,0
92.0,258785.0,3520551724.13793,0
98.0,266274.0,3701667052.55846,0
107.0,273963.0,4183548189.07305,0
110.0,281751.0,4105706151.75145,0
121.0,289525.0,4087337959.93191,0
128.0,297192.0,4734020036.68689,0
134.0,304699.0,5115602836.87943,0
128.0,312038.0,5197332974.13793,0
133.0,319222.0,4051147227.53346,0
125.0,326289.0,4600000000.0,0
130.0,333241.0,6001153306.2645,0
143.0,340117.0,5601090584.36122,0
152.0,346867.0,5843329107.56171,0
159.0,353389.0,6557333084.60567,0
156.0,359523.0,7872333215.004141,0
160.0,365158.0,9531402847.87311,0
149.0,370250.0,11470703002.0769,0
144.0,374864.0,12247694247.2298,0
147.0,379252.0,14393099068.5859,0
153.0,383772.0,10732366286.2643,0
152.0,388662.0,13707370737.0737,0
154.0,394013.0,18525319977.7407,0
158.0,399748.0,19048495518.5659,0
185.0,405716.0,18093829923.2737,0
262.0,649755.0,489914760.682807,0
249.0,657534.0,576090073.715036,0
254.0,665528.0,734887973.975806,0
258.0,673251.0,964026512.197839,0
278.0,680011.0,1288715209.58084,0
258.0,685406.0,2154311276.94859,0
256.0,689173.0,2087496373.77964,0
269.0,691702.0,2159242416.76942,0
277.0,694077.0,2160364071.1902103,0
293.0,697717.0,2278248953.14058,0
311.0,703687.0,2430411900.19194,0
334.0,712341.0,3090734463.2768397,0
340.0,723380.0,3704813885.50548,0
343.0,736479.0,4278792597.23965,0
367.0,751044.0,4563482603.5503,0
374.0,766614.0,5591130217.66965,0
390.0,783129.0,5770197348.48485,0
394.0,800609.0,6912150456.323339,0
399.0,818751.0,6590291048.29211,0
397.0,837110.0,7425703928.571429,0
432.0,855384.0,9826778783.9586,0
424.0,873423.0,9899623588.456709,0
432.0,891192.0,9594298745.72406,0
462.0,908704.0,10353506787.3303,0
479.0,926050.0,10614455231.931,0
452.0,943286.0,10183317624.8822,0
470.0,960282.0,10567304189.4353,0
474.0,976966.0,11618269230.7692,0
461.0,993563.0,14576896942.2424,0
460.0,1010410.0,17422375000.0,0
470.0,1027658.0,18703146374.829,0
456.0,1045509.0,20403713461.2972,0
470.0,1063712.0,24077470572.1325,0
450.0,1081563.0,27839460963.8201,0
455.0,1098076.0,25942622950.8197,0
465.0,1112607.0,25562251655.6291,0
466.0,1124835.0,27427161523.4918,0
460.0,1135062.0,25041372221.5084,0
464.0,1143896.0,24084572490.7063,0
2422.0,5434294.0,10712712465.0522,0
2358.0,5573815.0,11879982758.5619,0
2447.0,5694247.0,13063643795.7884,0
